"id","index","epi","ar","et","nbr_boite","name_project","etude","date","secteur","ti","name_document","nbr_document_a3","nbr_document_a4","nbr_plan","type_document_a3","type_document_a4","type_document_a0","nbr_copy","nbr_exemplaire","nbr_folder","salle","created_by_id","last_update_by_id"
5468,"111-2-9","1","1","1","2","étude d'exécution de l'alimentation en eau d'irrigation des secteurs beht3 et beht4","projet d'exécution des ouvrages",NULL,"BEHT 3 ET BEHT 4","PIB","profils","","","16","","","profils","","","","SALLE ARCHIVE",NULL,NULL
5469,"111-3-1","1","1","1","3","étude d'exécution de l'alimentation en eau d'irrigation des secteurs beht3 et beht4","avant projet détaillé ",NULL,"BEHT 3 ET BEHT 4","PIB","note de calcul","","97","","","rapport","","","","2","SALLE ARCHIVE",NULL,NULL
5470,"111-3-2","1","1","1","3","étude d'exécution de l'alimentation en eau d'irrigation des secteurs beht3 et beht4","avant projet détaillé ",NULL,"BEHT 3 ET BEHT 4","PIB","plan de situation","","","4","","","plan de situation","1","","2","SALLE ARCHIVE",NULL,NULL
5471,"111-3-3","1","1","1","3","étude d'exécution de l'alimentation en eau d'irrigation des secteurs beht3 et beht4","avant projet détaillé ",NULL,"BEHT 3 ET BEHT 4","PIB","plan des ouvrages","8","","4","plan des ouvrages","","plan des ouvrages","25","","2","SALLE ARCHIVE",NULL,NULL
5472,"111-3-4","1","1","1","3","étude d'exécution de l'alimentation en eau d'irrigation des secteurs beht3 et beht4","avant projet détaillé ",NULL,"BEHT 3 ET BEHT 4","PIB","plan coté","","","3","","","plan coté","25","","2","SALLE ARCHIVE",NULL,NULL
5473,"111-3-5","1","1","1","3","étude d'exécution de l'alimentation en eau d'irrigation des secteurs beht3 et beht4","avant projet détaillé ",NULL,"BEHT 3 ET BEHT 4","PIB","profil en travers","","","16","","","profil en travers","1","","2","SALLE ARCHIVE",NULL,NULL
5474,"111-4-1","1","1","1","4","étude e reconversion du système d'irrigation gravitaire en irrigation localisée dans le périmètre du Gharb en deux lots","étude d'avant projet détaillé, projet d'exécution des ouvrages et dossiers de consultation des entreprises",NULL,"S1 DU BETH","PIB","mémoire explicatif","","113","","","rapport","","","","1","SALLE ARCHIVE",NULL,NULL
5475,"111-4-10","1","1","1","4","étude e reconversion du système d'irrigation gravitaire en irrigation localisée dans le périmètre du Gharb en deux lots","étude d'avant projet détaillé, projet d'exécution des ouvrages et dossiers de consultation des entreprises",NULL,"S1 DU BETH","PIB","plans des ferraillage","8","","","plans des ferraillage","","","8","","1","SALLE ARCHIVE",NULL,NULL
5476,"111-4-11","1","1","1","4","étude e reconversion du système d'irrigation gravitaire en irrigation localisée dans le périmètre du Gharb en deux lots","étude d'avant projet détaillé, projet d'exécution des ouvrages et dossiers de consultation des entreprises",NULL,"S1 DU BETH","PIB","profil en travers","1","","","profil en travers","","","2","","1","SALLE ARCHIVE",NULL,NULL
5477,"111-4-2","1","1","1","4","étude e reconversion du système d'irrigation gravitaire en irrigation localisée dans le périmètre du Gharb en deux lots","étude d'avant projet détaillé, projet d'exécution des ouvrages et dossiers de consultation des entreprises",NULL,"S1 DU BETH","PIB","avant métré et détails estimatifs","","38","","","rapport","","","","1","SALLE ARCHIVE",NULL,NULL
5478,"111-4-3","1","1","1","4","étude e reconversion du système d'irrigation gravitaire en irrigation localisée dans le périmètre du Gharb en deux lots","étude d'avant projet détaillé, projet d'exécution des ouvrages et dossiers de consultation des entreprises",NULL,"S1 DU BETH","PIB","note de calcul","","32","","","rapport","","","","1","SALLE ARCHIVE",NULL,NULL
5479,"111-4-4","1","1","1","4","étude e reconversion du système d'irrigation gravitaire en irrigation localisée dans le périmètre du Gharb en deux lots","étude d'avant projet détaillé, projet d'exécution des ouvrages et dossiers de consultation des entreprises",NULL,"S1 DU BETH","PIB","avant projet sommaire ","","32","","","rapport","","","","1","SALLE ARCHIVE",NULL,NULL
5480,"111-4-5","1","1","1","4","étude e reconversion du système d'irrigation gravitaire en irrigation localisée dans le périmètre du Gharb en deux lots","étude d'avant projet détaillé, projet d'exécution des ouvrages et dossiers de consultation des entreprises",NULL,"S1 DU BETH","PIB","Note de calcul électromécanique","","98","","","rapport","","","","1","SALLE ARCHIVE",NULL,NULL
5481,"111-4-6","1","1","1","4","étude e reconversion du système d'irrigation gravitaire en irrigation localisée dans le périmètre du Gharb en deux lots","étude d'avant projet détaillé, projet d'exécution des ouvrages et dossiers de consultation des entreprises",NULL,"S1 DU BETH","PIB","plan de situation","1","","","plan de situation","","","1","","1","SALLE ARCHIVE",NULL,NULL
5482,"111-4-7","1","1","1","4","étude e reconversion du système d'irrigation gravitaire en irrigation localisée dans le périmètre du Gharb en deux lots","étude d'avant projet détaillé, projet d'exécution des ouvrages et dossiers de consultation des entreprises",NULL,"S1 DU BETH","PIB","plan de réseau","","","2","","","plan de réseau","2","","1","SALLE ARCHIVE",NULL,NULL
5483,"111-4-8","1","1","1","4","étude e reconversion du système d'irrigation gravitaire en irrigation localisée dans le périmètre du Gharb en deux lots","étude d'avant projet détaillé, projet d'exécution des ouvrages et dossiers de consultation des entreprises",NULL,"S1 DU BETH","PIB","Plan coté","3","","","Plan coté","","","3","","1","SALLE ARCHIVE",NULL,NULL
5484,"111-4-9","1","1","1","4","étude e reconversion du système d'irrigation gravitaire en irrigation localisée dans le périmètre du Gharb en deux lots","étude d'avant projet détaillé, projet d'exécution des ouvrages et dossiers de consultation des entreprises",NULL,"S1 DU BETH","PIB","plans des ouvrages","15","","","plans des ouvrages","","","16","","1","SALLE ARCHIVE",NULL,NULL
5485,"112-1-1","1","1","2","1","PRIMETRE DU GHARB.S.T.I TATION DE MISE EN PRITION N3 - N4","PROJECT D'EXECUTION ",NULL,"N3  N4","","dossier d'agrément technique du poste M.T ","7","83","5","plan d'ouvrage","rapport","plan d'ouvrage","","","","SALLE ARCHIVE",NULL,NULL
5486,"112-1-2","1","1","2","1","_","ETUDE D'AVANT PROJET DES OUVRAGE PRINCIPAUX DU SECTEUR 1",NULL,"","","","","55","7","","rapport","plan d'ouvrage","","","","SALLE ARCHIVE",NULL,NULL
5487,"112-2-1","1","1","2","2","ARRONDISSEMENT DE:     LA STI  / BEHT ","INVENTAIRE DES EQUIPMEMENTS DE LA STATION: (LA STR:  ( OULED KHLAIFA) / (SP1/R)/(SP3/R)/(SP3)/(SP5/R)/(SP7/R)/(SP8/1) .)_(BEHT: (SP8/1)- (SP8/2)-(P2.THKS)-(R'COM)",NULL,"","","","","531","","","rapport","","","","","SALLE ARCHIVE",NULL,NULL
5488,"112-3-1","1","1","2","3","Etude de faisabilité de l'aménagement hydro-agricole des secteurs Est3, Est5 et Z6 et de sécurisation de l'alimentation en eau d'irrigation des secteurs équipés P7 et P8 de la troisième tranche d'irrigation du périmètre du Gharb","ETUDE DE FACTIBILITE",NULL,"EST3 ET EST5 ET Z6 P7 ET P8","TTI; PIB; ET PTI","rapport de synthèse en arabe","","27","","","rapport","","","","9","SALLE ARCHIVE",NULL,NULL
5489,"113-1-1","1","1","3","1","Etude de faisabilité de l'aménagement hydro-agricole des secteurs Est3, Est5 et Z6 et de sécurisation de l'alimentation en eau d'irrigation des secteurs équipés P7 et P8 de la troisième tranche d'irrigation du périmètre du Gharb","ETUDE DE FACTIBILITE",NULL,"EST3 ET EST5 ET Z6 P7 ET P8","TTI; PIB; ET PTI","NOTE DE SYNTHESE","","30","","","rapport","","","","9","SALLE ARCHIVE",NULL,NULL
5490,"113-1-2","1","1","3","1","Etude de faisabilité de l'aménagement hydro-agricole des secteurs Est3, Est5 et Z6 et de sécurisation de l'alimentation en eau d'irrigation des secteurs équipés P7 et P8 de la troisième tranche d'irrigation du périmètre du Gharb","ETUDE DE FACTIBILITE",NULL,"EST3 ET EST5 ET Z6 P7 ET P8","TTI; PIB; ET PTI","RAPPRT","6","209","","rapport","rapport","","","","9","SALLE ARCHIVE",NULL,NULL
5491,"113-2-1","1","1","3","2","étude e reconversion du système d'irrigation gravitaire en irrigation localisée dans le périmètre du Gharb en deux lots","avant projet sommaire et étude de faisabilité ",NULL,"S1 DU BETH","PIB","note de calcul","","42","","","rapport","","40","","","SALLE ARCHIVE",NULL,NULL
5492,"113-2-10","1","1","3","2","étude e reconversion du système d'irrigation gravitaire en irrigation localisée dans le périmètre du Gharb","lot P81 P82 S1 S3 S7A ET S7D",NULL,"","","annexe","","388","","","annexe","","312","","","SALLE ARCHIVE",NULL,NULL
5493,"113-2-2","1","1","3","2","étude e reconversion du système d'irrigation gravitaire en irrigation localisée dans le périmètre du Gharb en deux lots","avant projet sommaire et étude de faisabilité ",NULL,"S1 DU BETH","PIB","avant métré et détails estimatifs","","24","","","rapport","","24","","","SALLE ARCHIVE",NULL,NULL
5494,"113-2-3","1","1","3","2","étude e reconversion du système d'irrigation gravitaire en irrigation localisée dans le périmètre du Gharb en deux lots","avant projet sommaire et étude de faisabilité ",NULL,"S1 DU BETH","PIB","étude de faisabilité","","116","","","rapport","","110","","","SALLE ARCHIVE",NULL,NULL
5495,"113-2-4","1","1","3","2","étude e reconversion du système d'irrigation gravitaire en irrigation localisée dans le périmètre du Gharb en deux lots","avant projet sommaire et étude de faisabilité ",NULL,"S1 DU BETH","PIB","mémoire explicatif","","84","","","rapport","","110","","","SALLE ARCHIVE",NULL,NULL
5496,"113-2-5","1","1","3","2","étude e reconversion du système d'irrigation gravitaire en irrigation localisée dans le périmètre du Gharb en deux lots","avant projet sommaire et étude de faisabilité ",NULL,"S1 DU BETH","PIB","cahier des ouvrages types","9","","","cahier des ouvrages types","","","","","","SALLE ARCHIVE",NULL,NULL
5497,"113-2-6","1","1","3","2","étude e reconversion du système d'irrigation gravitaire en irrigation localisée dans le périmètre du Gharb en deux lots","avant projet sommaire et étude de faisabilité ",NULL,"S1 DU BETH","PIB","plan de détails","","","2","","","plan de détails","","2","","SALLE ARCHIVE",NULL,NULL
5498,"113-2-7","1","1","3","2","étude e reconversion du système d'irrigation gravitaire en irrigation localisée dans le périmètre du Gharb en deux lots","avant projet sommaire et étude de faisabilité ",NULL,"S1 DU BETH","PIB","tracé du réseau","","","2","","","tracé du réseau","","2","","SALLE ARCHIVE",NULL,NULL
5499,"113-2-8","1","1","3","2","étude e reconversion du système d'irrigation gravitaire en irrigation localisée dans le périmètre du Gharb en deux lots","avant projet sommaire et étude de faisabilité ",NULL,"S1 DU BETH","PIB","plan de situation","3","","","plan de situation","","","","","","SALLE ARCHIVE",NULL,NULL
5500,"113-2-9","1","1","3","2","étude e reconversion du système d'irrigation gravitaire en irrigation localisée dans le périmètre du Gharb","lot P81 P82 S1 S3 S7A ET S7D",NULL,"","","dossier de consultation des agriculteurs","","20","","","rapport","","17","","","SALLE ARCHIVE",NULL,NULL
5501,"114-1-1","1","1","4","1","Etude de faisabilité de l'aménagement hydro-agricole des secteurs Est3, Est5 et Z6 et de sécurisation de l'alimentation en eau d'irrigation des secteurs équipés P7 et P8 de la troisième tranche d'irrigation du périmètre du Gharb","étude d'impact du projet sur l'environnement",NULL,"EST3 ET EST5 ET Z6 P7 ET P8","TTI; PIB; ET PTI","RAPPORT DE SYNTHESE","1","36","","Carte du schéma d'aménagement","rapport","","","8","","SALLE ARCHIVE",NULL,NULL
5502,"114-1-2","1","1","4","1","Etude de faisabilité de l'aménagement hydro-agricole des secteurs Est3, Est5 et Z6 et de sécurisation de l'alimentation en eau d'irrigation des secteurs équipés P7 et P8 de la troisième tranche d'irrigation du périmètre du Gharb","étude d'impact du projet sur l'environnement",NULL,"EST3 ET EST5 ET Z6 P7 ET P8","TTI; PIB; ET PTI","","4","119","","Carte du schéma d'aménagement","rapport","","","8","","SALLE ARCHIVE",NULL,NULL
5503,"114-2-1","1","1","4","2","réalisation des études d'exécution pour la création des pistes agricoles dans le périmètre du Gharb province de Kenitra Sidi Kacem","projet d'exécution",NULL,"","","rapport d'étude géotechnique","","72","","","rapport","","","2","","SALLE ARCHIVE",NULL,NULL
5504,"114-2-2","1","1","4","2","réalisation des études d'exécution pour la création des pistes agricoles dans le périmètre du Gharb province de Kenitra Sidi Kacem","projet d'exécution",NULL,"","","étude géotechnique","","35","","","rapport","","","2","","SALLE ARCHIVE",NULL,NULL
5505,"114-2-3","1","1","4","2","réalisation des études d'exécution pour la création des pistes agricoles dans le périmètre du Gharb province de Kenitra Sidi Kacem","projet d'exécution",NULL,"","","dossier GPS Commune MOGRANE","","17","","","rapport","","","2","","SALLE ARCHIVE",NULL,NULL
5506,"114-2-4","1","1","4","2","réalisation des études d'exécution pour la création des pistes agricoles dans le périmètre du Gharb province de Kenitra Sidi Kacem","projet d'exécution",NULL,"","","cahier des profiles en travers","","71","","","profil en travers","","","2","","SALLE ARCHIVE",NULL,NULL
5507,"114-2-5","1","1","4","2","réalisation des études d'exécution pour la création des pistes agricoles dans le périmètre du Gharb province de Kenitra Sidi Kacem","projet d'exécution",NULL,"","","plan de localisation","","","2","","","plan de localisation","1","2","","SALLE ARCHIVE",NULL,NULL
5508,"114-2-6","1","1","4","2","réalisation des études d'exécution pour la création des pistes agricoles dans le périmètre du Gharb province de Kenitra Sidi Kacem","projet d'exécution",NULL,"","","dossier GPS sidi Mohammed l'Ahmar","","15","","","rapport","","2","2","","SALLE ARCHIVE",NULL,NULL
5509,"115-1-1","1","1","5","1","Etude de faisabilité de l'aménagement hydro-agricole des secteurs Est3, Est5 et Z6 et de sécurisation de l'alimentation en eau d'irrigation des secteurs équipés P7 et P8 de la troisième tranche d'irrigation du périmètre du Gharb","AVANT PROJET SOMMAIRE ",NULL,"EST3 ET EST5 ET Z6 P7 ET P8","TTI; PIB; ET PTI","","","","36","","","plan réseau de drainage","","","","SALLE ARCHIVE",NULL,NULL
5510,"116-1-1","1","1","6","1","ETUDE DE FAISABILITE DE L'AMENAGEMENT HYDRO-AGRICOLE DES SECTEURS EST 3,EST 5 ET Z6 ET DE SECURISATION DE L'ALIMENTATION EN EAU D'IRRIGATION DES SECTEURS EQUIPES P7 ET P8","OUVRAGE DE TETE STATION DE MISE EN PRESSION SUR CANAL POUR LA VARIANTE AMCOM-CAN",NULL,"EST3 ET EST5 ET Z6 P7 ET P8","TTI; PIB; ET PTI","OUVRAGE DE TETE STATION DE MISE EN PRESSION SUR CANAL POUR LA VARIANTE AMCOM-CAN","6","","","plan d'ouvrage","","","","10","","SALLE ARCHIVE",NULL,NULL
5511,"116-1-2","1","1","6","1","Etude de faisabilité de l'aménagement hydro-agricole des secteurs Est3, Est5 et Z6 et de sécurisation de l'alimentation en eau d'irrigation des secteurs équipés P7 et P8 de la troisième tranche d'irrigation du périmètre du Gharb","OUVRAGES TYPES",NULL,"EST3 ET EST5 ET Z6 P7 ET P8","TTI; PIB; ET PTI","OUVRAGES TYPES","","32","","","plan d'ouvrage","","","10","","SALLE ARCHIVE",NULL,NULL
5512,"116-1-3","1","1","6","1","Etude de faisabilité de l'aménagement hydro-agricole des secteurs Est3, Est5 et Z6 et de sécurisation de l'alimentation en eau d'irrigation des secteurs équipés P7 et P8 de la troisième tranche d'irrigation du périmètre du Gharb","canevas hydraulique  du secteur Est5",NULL,"EST5","TTI; PIB; ET PTI","canevas hydraulique  du secteur Est5","","","5","","","plan coté","","10","","SALLE ARCHIVE",NULL,NULL
5513,"116-1-4","1","1","6","1","Etude de faisabilité de l'aménagement hydro-agricole des secteurs Est3, Est5 et Z6 et de sécurisation de l'alimentation en eau d'irrigation des secteurs équipés P7 et P8 de la troisième tranche d'irrigation du périmètre du Gharb","canevas hydraulique  du secteur Est3",NULL,"EST3","TTI; PIB; ET PTI","canevas hydraulique  du secteur Est3","","","16","","","plan coté","","10","","SALLE ARCHIVE",NULL,NULL
5514,"116-1-5","1","1","6","1","Etude de faisabilité de l'aménagement hydro-agricole des secteurs Est3, Est5 et Z6 et de sécurisation de l'alimentation en eau d'irrigation des secteurs équipés P7 et P8 de la troisième tranche d'irrigation du périmètre du Gharb","Plan de situation des secteurs est3 et est5",NULL,"EST3 ET EST5","TTI; PIB; ET PTI","Plan de situation des secteurs est3 et est5","","","1","","","plan de situation","","10","","SALLE ARCHIVE",NULL,NULL
5515,"116-1-7","1","1","6","1","Etude de faisabilité de l'aménagement hydro-agricole des secteurs Est3, Est5 et Z6 et de sécurisation de l'alimentation en eau d'irrigation des secteurs équipés P7 et P8 de la troisième tranche d'irrigation du périmètre du Gharb","Plan de situation ",NULL,"","TTI; PIB; ET PTI","Plan de situation","","","1","","","plan de situation","","10","","SALLE ARCHIVE",NULL,NULL
5516,"116-2-1","1","1","6","2","Etude de faisabilité de l'aménagement hydro-agricole des secteurs Est3, Est5 et Z6 et de sécurisation de l'alimentation en eau d'irrigation des secteurs équipés P7 et P8 de la troisième tranche d'irrigation du périmètre du Gharb","Evaluation de la qualité de l'eau des Oueds Sebou et Ourga",NULL,"EST3 ET EST5 ET Z6 P7 ET P8","TTI; PIB; ET PTI","Evaluation de la qualité de l'eau des Oueds Sebou et Ourga","","63","","","rapport","","","10","","SALLE ARCHIVE",NULL,NULL
5517,"116-2-2","1","1","6","2","Etude de faisabilité de l'aménagement hydro-agricole des secteurs Est3, Est5 et Z6 et de sécurisation de l'alimentation en eau d'irrigation des secteurs équipés P7 et P8 de la troisième tranche d'irrigation du périmètre du Gharb","Etude des variantes de mobilisation et d'adduction d'eau d'irrigation",NULL,"EST3 ET EST5 ET Z6 P7 ET P8","TTI; PIB; ET PTI","Etude des variantes de mobilisation et d'adduction d'eau d'irrigation","","228","","","rapport","","","10","","SALLE ARCHIVE",NULL,NULL
5518,"116-2-3","1","1","6","2","Etude de faisabilité de l'aménagement hydro-agricole des secteurs Est3, Est5 et Z6 et de sécurisation de l'alimentation en eau d'irrigation des secteurs équipés P7 et P8 de la troisième tranche d'irrigation du périmètre du Gharb","Equipement interne du secteur Est5",NULL,"EST5","TTI","Equipement interne du secteur Est5","","93","","","rapport","","","10","","SALLE ARCHIVE",NULL,NULL
5519,"116-2-4","1","1","6","2","Etude de faisabilité de l'aménagement hydro-agricole des secteurs Est3, Est5 et Z6 et de sécurisation de l'alimentation en eau d'irrigation des secteurs équipés P7 et P8 de la troisième tranche d'irrigation du périmètre du Gharb","Equipement interne du secteur Est3",NULL,"EST3","TTI","Equipement interne du secteur Est3","","91","","","rapport","","","10","","SALLE ARCHIVE",NULL,NULL
5520,"116-2-5","1","1","6","2","Etude de faisabilité de l'aménagement hydro-agricole des secteurs Est3, Est5 et Z6 et de sécurisation de l'alimentation en eau d'irrigation des secteurs équipés P7 et P8 de la troisième tranche d'irrigation du périmètre du Gharb","Etude du canevas hydraulique",NULL,"EST3 ET EST5 ET Z6 P7 ET P8","TTI; PIB; ET PTI","Etude du canevas hydraulique","","20","","","étude","","","10","","SALLE ARCHIVE",NULL,NULL
5521,"116-2-6","1","1","6","2","Etude de faisabilité de l'aménagement hydro-agricole des secteurs Est3, Est5 et Z6 et de sécurisation de l'alimentation en eau d'irrigation des secteurs équipés P7 et P8 de la troisième tranche d'irrigation du périmètre du Gharb","Equipement interne du secteur Z6",NULL,"Z6","PIB","Equipement interne du secteur Z6","","249","","","rapport","","","10","","SALLE ARCHIVE",NULL,NULL
5522,"117-1-1","1","1","7","1","Etude de faisabilité de l'aménagement hydro-agricole des secteurs Est3, Est5 et Z6 et de sécurisation de l'alimentation en eau d'irrigation des secteurs équipés P7 et P8. marché 15/2008/DAM","diagnostic des opérateurs T1",NULL,"","PTI","RAPPORT","","200","","","rapport","","35","6","","SALLE ARCHIVE",NULL,NULL
5523,"117-2-1","1","1","7","2","Etude de faisabilité de l'aménagement hydro-agricole des secteurs Est3, Est5 et Z6 et de sécurisation de l'alimentation en eau d'irrigation des secteurs équipés P7 et P8. marché 15/2008/DAM","diagnostic des opérateurs T1",NULL,"","PTI","RAPPORT","","200","","","rapport","","1","11","","SALLE ARCHIVE",NULL,NULL
5524,"117-2-2","1","1","7","2","Etude de faisabilité de l'aménagement hydro-agricole des secteurs Est3, Est5 et Z6 et de sécurisation de l'alimentation en eau d'irrigation des secteurs équipés P7 et P8. marché 15/2008/DAM","diagnostic des opérateurs T2",NULL,"","PTI","RAPPORT","","148","","","rapport","","1","11","","SALLE ARCHIVE",NULL,NULL
5525,"117-3-1","1","1","7","3","Etude de faisabilité de l'aménagement hydro-agricole des secteurs Est3, Est5 et Z6 et de sécurisation de l'alimentation en eau d'irrigation des secteurs équipés P7 et P8. marché 15/2008/DAM","diagnostic de la situation actuelle du développement agricole des secteurs P7, P8, E3, E5  et Z6 de la plaine de Gharb",NULL,"","PTI; TTI","RAPPORT","","91","","","rapport","","","8","","SALLE ARCHIVE",NULL,NULL
5526,"117-4-1","1","1","7","4","Etude de faisabilité de l'aménagement hydro-agricole des secteurs Est3, Est5 et Z6 et de sécurisation de l'alimentation en eau d'irrigation des secteurs équipés P7 et P8. marché 15/2008/DAM","rapport de sélection des offres de mise en valeur agricole",NULL,"","PTI","RAPPORT","3","74","","plan des cultures","rapport","","1","20","","SALLE ARCHIVE",NULL,NULL
5527,"117-4-2","1","1","7","4","Etude de faisabilité de l'aménagement hydro-agricole des secteurs Est3, Est5 et Z6 et de sécurisation de l'alimentation en eau d'irrigation des secteurs équipés P7 et P8. marché 15/2008/DAM","RAPPORT DE CONTRACTUALISATION DES PROJETS DE MISE EN VALEUR AGRICOLE",NULL,"","PTI","RAPPORT","","39","","","rapport","","1","20","","SALLE ARCHIVE",NULL,NULL
5528,"117-5-1","1","1","7","5","Etude de faisabilité de l'aménagement hydro-agricole des secteurs Est3, Est5 et Z6 et de sécurisation de l'alimentation en eau d'irrigation des secteurs équipés P7 et P8. marché 15/2008/DAM","diagnostic des agriculteurs et de leurs attentes",NULL,"","PTI","RAPPORT","2","83","","plan des agriculteurs","rapport","","","7","","SALLE ARCHIVE",NULL,NULL
5529,"117-6-1","1","1","7","6","Etude de faisabilité de l'aménagement hydro-agricole des secteurs Est3, Est5 et Z6 et de sécurisation de l'alimentation en eau d'irrigation des secteurs équipés P7 et P8. marché 15/2008/DAM","projet de mise en valeur agricole",NULL,"","PTI","Rapport","","46","","","rapport","","","7","","SALLE ARCHIVE",NULL,NULL
5530,"118-1-1","1","1","8","1","Etude de faisabilité de l'aménagement hydro-agricole des secteurs Est3, Est5 et Z6 et de sécurisation de l'alimentation en eau d'irrigation des secteurs équipés P7 et P8. marché 15/2008/DAM","diagnostic de la situation actuelle du développement agricole des secteurs P7 et P8 T1",NULL,"P7 ET P8","PTI","RAPPORT","","190","","","rapport","","","8","","SALLE ARCHIVE",NULL,NULL
5531,"118-1-2","1","1","8","1","Etude de faisabilité de l'aménagement hydro-agricole des secteurs Est3, Est5 et Z6 et de sécurisation de l'alimentation en eau d'irrigation des secteurs équipés P7 et P8. marché 15/2008/DAM","diagnostic de la situation actuelle du développement agricole des secteurs P7 et P8 T2",NULL,"P7 ET P8","PTI","RAPPORT","14","143","","plan de développement agricole","rapport","","","8","","SALLE ARCHIVE",NULL,NULL
5532,"118-2-1","1","1","8","2","Etude de faisabilité de l'aménagement hydro-agricole des secteurs Est3, Est5 et Z6 et de sécurisation de l'alimentation en eau d'irrigation des secteurs équipés P7 et P8. marché 15/2008/DAM","diagnostic de la situation actuelle du développement agricole des secteurs E3 et E5 T1",NULL,"E3 ET E5","PTI","RAPPORT","","185","","","rapport","","","8","","SALLE ARCHIVE",NULL,NULL
5533,"118-2-2","1","1","8","2","Etude de faisabilité de l'aménagement hydro-agricole des secteurs Est3, Est5 et Z6 et de sécurisation de l'alimentation en eau d'irrigation des secteurs équipés P7 et P8. marché 15/2008/DAM","diagnostic de la situation actuelle du développement agricole des secteurs E3 et E5 T2",NULL,"E3 ET E5","PTI","RAPPORT","12","151","","plan développement agricole","rapport","","","8","","SALLE ARCHIVE",NULL,NULL
5534,"118-3-1","1","1","8","3","Etude de faisabilité de l'aménagement hydro-agricole des secteurs Est3, Est5 et Z6 et de sécurisation de l'alimentation en eau d'irrigation des secteurs équipés P7 et P8. marché 15/2008/DAM","diagnostic de la situation actuelle du développement agricole du secteur Z6  T2",NULL,"Z6","TTI; PTI","RAPPORT","","235","","","rapport","","","8","","SALLE ARCHIVE",NULL,NULL
5535,"118-3-2","1","1","8","3","Etude de faisabilité de l'aménagement hydro-agricole des secteurs Est3, Est5 et Z6 et de sécurisation de l'alimentation en eau d'irrigation des secteurs équipés P7 et P8. marché 15/2008/DAM","diagnostic de la situation actuelle du développement agricole du secteur Z6  T1",NULL,"Z6","TTI; PTI","RAPPORT","","154","","","rapport","","","8","","SALLE ARCHIVE",NULL,NULL
